title,creator,description,date,subject-lcsh,subject,relation,contributing institution,publisher digital,digital collection website,source,identifier,publisher,format original,type,format,digitization specifications,rights,rightsstatement,language,date digital,coverage,latitude,longitude,full text,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Message from Senator Dworshak,"Curtis, Albert B. (Albert Bruce), 1903-1985",A message to Senator Dworshak urging for a partnership on the Bruces Eddy Bill.,1955-07-15,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak, Henry Clarence, 1894-1962;","Dworshak, Henry Clarence; Curtis, Bert;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-013,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/1,1,2.cpd,/dworshak/supp/1/index.pdf,dworshak1
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.",1955-05-06,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-005,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/3,3,4.cpd,/dworshak/supp/3/index.pdf,dworshak3
Letter to Major General Samuel D. Sturgis Jr.,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Major General Samuel D. Sturgis, in which Burt Curtis discusses the proposed Bruces Eddy and Penny Cliffs Projects.",1955-03-10,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Sturgis Jr., Samuel D.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,"MG 147, Box 3, Folder 7a",03-7a-002,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/5,5,6.cpd,/dworshak/supp/5/index.pdf,dworshak5
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.",1955-03-08,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-001,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/7,7,8.cpd,/dworshak/supp/7/index.pdf,dworshak7
Typographical error,,A letter to Bert Curtis from the secretary of K.M. Robinson correcting an error,1955-05-11,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-006,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/9,9,10.cpd,/dworshak/supp/9/index.pdf,dworshak9
The Washington Water Power Company,"Robinson, K.M.","A letter to K.M. Robinson from Bert Curtis, discussing General Sturgis",1955-04-29,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-004,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/11,11,12.cpd,/dworshak/supp/11/index.pdf,dworshak11
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-05-12,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;","Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-008,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/13,13,14.cpd,/dworshak/supp/13/index.pdf,dworshak13
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing the resolution for the Penny Cliffs and Bruces Eddy projects.",1955-05-12,,"Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-007,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/15,15,16.cpd,/dworshak/supp/15/index.pdf,dworshak15
Pacific Northwest Power Company,"Robinson, K.M.",K.M. Robinson explains that the Trinity River Bill will not suit the power companies purposes regarding Bruces Eddy.,1956-01-03,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Robinson, K.M.; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-018,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/17,17,18.cpd,/dworshak/supp/17/index.pdf,dworshak17
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-06-02,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;","Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-010,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/19,19,20.cpd,/dworshak/supp/19/index.pdf,dworshak19
