timestamp,speaker,words,tags,highlight,timelink
[0:00],Devin Becker,And there we go with that. This could be a good set up.,,,
,,Good.,,,
,,"So, three parts to the interview. First part will be kind of how you're working now, with the computer and back and forth&#8212;kind of a brief short-answer questions. This comes out of a survey a colleague of mine and I did with a lot of kind of emerging poets about three years ago. It was like an online survey just to see how people are saving and organizing their work.",,,
,,"So that will be kind of a couple of pages, but fairly quick.",,,
,,"And then we'll talk kind of more overarchingly about your professional career and about how the processes for you have changed, have not changed with. Some idea, you know, with some sort of focus on how the computer impacted that.",,,
,,"Then, we'll talk a little bit about the computer in general, and a little bit about correspondence and teaching, and ask a few plunk questions at the end just to see what you think about computers&#8212;which is such a large question&#8212;but it gets somewhat repetitive at times. So, if you think you've answered already, say, ""Skip it,"" or you know, ""Let's go.""",,,
[01:09],Rae Armantrout,About how long will it take?,,,
,DB,It'll take about an hour and fifteen minutes.,,,
,RA,OK.,,,
,DB,"And if, you know, need a break at any time, no problem.",,,
,RA:, OK.,,,
,DB,"So, yeah.",,,
,,"So, can we begin?",,,
,RA,Sure.,,,
,DB,"If you wouldn't mind stating your name, your date of birth, and the location we're at right now.",,,
,RA,"OK. Ray Armantrout (1:29), April 13th, 1947, and we are at my home in Norman Heights, San Diego.",,,
,DB,"Alright. So, I'm going to first ask about how you compose currently. So what genres do you work in?",,,
[01:43],RA,Mostly poetry.,,,
,DB,Mostly poetry.,,,
,RA,"Once in a while I write an essay, but mostly poetry.",,,
,DB,OK. And what kind of devices&#8212;what kind of computer devices&#8212;do you own or have access to for your writing?,,,
,RA,"Well, really just two. I have an iPad and I have a Dell computer upstairs.",,,
,RA,"Oh, and I have one at work, too. Also a Dell.",,,
,DB,Do you use the one at work very often for actually writing?,,,
,RA,"Actually, no. So...",,,
,DB,"No, OK.",,,
,,"So, the operating systems are&#8212;you've got a Mac, and you have a PC?",,,
,RA,Uh-hmm.,,,
,DB,And do you work on one of these devices primarily?,paper; between,,
,RA,"Well, actually, I probably work primarily in this old school device called ""notebook"" where I, you know, fill pages with illegible text, and then once I start to think that my text is coming together, very often I'll do a version of it&#8212;just type it into the iPad. And I can show you. I'll send it to myself. Sometimes, I'll send it to my friend, Ron Silliman (2:54). And you know, I mean, I like to know how he'll respond to it&#8212;but it's also kind of a lazy way of saving a record of it.",paper; between,,
,DB,"Yeah, yeah.",paper; between,,
,RA,"Because I send it to myself, too.",paper; between,,
,,"And then once I've done that a bit, and I have several versions, I'll go upstairs and start working on the computer.",paper; between,,
[3:13],DB,"Oh, OK.",paper; between,,
,,"So, you've answered my next question&#8212;you're working between notebooks and digital devices&#8212;?",paper; between,,
,RA,Uh-hmm.,paper; between,,
,DB,&#8212;and is there ever a point where you print out the poem?,paper; between,,
,RA,"Oh, yeah.",paper; between,,
,DB,"OK. Will that be at a point, like, after you've reached your upstairs computer?",paper; between,,
,RA,"Yeah, yeah.",paper; between,,
,DB,OK.,,,
,RA,"I mean, I've got&#8212;well, I don't know how many versions I've got that I could show&#8212;I don't know. Are you interested in seeing printout versions, versions on here of anything I've been working on recently? Because we could do that.",,,
,,Let's see.,,,
[3:53],,"These...these might not be versions, but I could find versions. How do you want to do that?",,,0
,DB,"Well, I think right now we can just talk about it and then at the end, I've got a camera, too. I can just take some pictures of that, and have it kind of as photographs&#8212;",,,
,RA,Sure.,,,
,DB,&#8212;which I think that's probably the best way.,,,
,,"So and then, how do you save your pre-writing, your notes there?",paper;future,,
,RA,"I have a bunch of these filling up my shelves. Right now, I have way too many. A couple of times, I've sold or donated my papers to archives including Stanford and also at UC-San Diego. And when I do, I also include these.",paper;future,,
,DB,You include those?,paper;future,,
,RA,Hmm,paper;future,,
,DB,OK. How many? Do you have any idea how many you've probably gone through?,paper;future,,
,RA,Hundreds.,paper;future,,
,DB,Hundreds?,paper;future,,
,RA,Maybe thousands.,paper;future,,
