speaker,timestamp,End Time,words,tags
Jack Kredell,[00:00:00:00],00:00:50:02,"So a lot of people who don't know anything about your work, your life's work or Taylor Ranch are going to see this. At least that's my hope, too, for for a younger generation of scholars, researchers, scientists and the general public to see these videos. And so maybe to begin. Could you just introduce yourself and say how you got involved with what became Taylor Ranch Wilderness Station?",wilderness
Maurice Hornocker,[00:00:50:04],00:01:29:14,"Well, it goes back to my intern years with Craig Heads, I suppose. Well, it's it does. I worked with John mainly for better part of ten years through my undergraduate and graduate work, and, and then moving on into the grizzly work and develop that love of the backcountry and big mammal research. He urged me to take this on and, and counsel that to do independent research, which he urged me to do.",
Maurice Hornocker,[00:01:29:16],00:02:04:07,"I had to get the advanced degree and the Ph.D. So and he encouraged me to take on a difficult project because he thought I was probably capable of carrying it out. We looked at some projects in Africa, Alaska. None of them seemed to fit and the funding was questionable. And then just timing and luck plays such a role in most people's lives, and they certainly mine the opportunity here in Idaho.",
Maurice Hornocker,[00:02:04:07],00:02:33:10,"And this mountain lion study came up and the director, Dick Woodworth, who was really responsible for bringing me the Idaho director, the Idaho Fish and Game, approached me about doing such a project here in Idaho. I was involved on a contract with John. I was his assistant at the Montana Unit at the University of Montana, so I had about ten months to do there.",
Maurice Hornocker,[00:02:33:12],00:03:06:02,"So I did an exploratory study out of Missoula just to develop techniques. And we captured 14 lions and and no one had ever done this before, drugging them in trees and taking them out and marking them individually. Well, nine of those 14 were killed by hunters before the end of winter. So anything in Montana would have been impossible to do to retain a study population.",
Maurice Hornocker,[00:03:06:04],00:03:41:23,"So we worked out a a long term contract deal with Dick Woodworth and the Idaho Fish and Game Department. And I hired Wilbur Wiles, who became more like a brother than an assistant or or companion. And I gave him a tremendous amount of credit for any success we had. He knew the country. He and he suggested Big Creek was probably the best place to do it.",
Maurice Hornocker,[00:03:42:01],00:04:07:07,Lions were vermin in those days. Anybody could hunt them and did kill them any time of the year. But Big Creek was isolated. There was only you had to fly in there in winter. And not everyone could afford that. Not everyone could do the rigorous hiking in that country for a winter outing. So that was in the early years.,
Maurice Hornocker,[00:04:07:07],00:04:57:14,"Our security, as the project went on and it became obvious it was going to be successful. I thought more and more of of long term wilderness research, a woods hole of wilderness research is what I, I really dreamed of and the opportunities there. This is the biggest roadless landmass in the United States, the Frank Church wilderness. It was the Idaho primitive area in those days and the Selway Bitterroot, the Wilderness to the north and the wisdom of a committee back in 1932 to set that aside as a primitive area, as watershed.",wilderness
Maurice Hornocker,[00:04:57:16],00:05:40:15,"The governor appointed a committee of of a cross section business people, the ecologist, farmers, lawyers, and they decided the best use of that was probably leave it as it is for irrigation and water supplies watershed. What wisdom and because timber resources weren't economically viable, miners had combed the country from the settlement of the West and nothing big had emerged what had already been pretty much taken out.",government;irrigation
Maurice Hornocker,[00:05:40:17],00:06:25:20,"So they said, Leave it alone, just as it is roadless. So that was a stroke of near genius in those days. Now, of course, with wilderness, it's secure, but they the idea of a of a wilderness research Leopold put it so well that wilderness has maintained itself for centuries without our help, without our manipulation. It's a great opportunity to study the how a healthy land can maintain itself, replace soil faster than it's taken away on and on, and measure that against our activities outside wilderness.",wilderness
Maurice Hornocker,[00:06:25:22],00:07:08:14,"What we're doing to change landscapes and how we can prevent disaster by looking to wilderness and what it does to maintain itself over centuries. So I thought a a unique situation. Montana had what they called a wilderness research station, but it's on paper alone. And this is could be, I argued tangible evidence the purchase of this property tangible evidence of the University of Idaho's interest, of true interest in wilderness research and preservation.",wilderness
Maurice Hornocker,[00:07:08:16],00:07:12:03,That was the aim.,
Jack Kredell,[00:07:12:05],00:07:16:14,And did you broker that deal with the Taylors?,
